A_beta,Kp_beta,sweepLE_deg
0.0,0.0,45
0.21052631578947367,0.35368421052631577,45
0.42105263157894735,0.6663157894736842,45
0.631578947368421,0.9484210526315789,45
0.8421052631578947,1.203157894736842,45
1.0526315789473684,1.4294736842105262,45
1.263157894736842,1.6273684210526316,45
1.4736842105263157,1.825263157894737,45
1.6842105263157894,1.9973684210526317,45
1.894736842105263,2.1657894736842103,45
2.1052631578947367,2.313157894736842,45
2.3157894736842106,2.4394736842105265,45
2.526315789473684,2.56578947368421,45
2.7368421052631575,2.6921052631578943,45
2.9473684210526314,2.818421052631579,45
3.1578947368421053,2.913157894736842,45
3.3684210526315788,2.9973684210526312,45
3.578947368421052,3.0736842105263156,45
3.789473684210526,3.136842105263158,45
4.0,3.2,45
0.0,0.0,50
0.21052631578947367,0.32,50
0.42105263157894735,0.6126315789473684,50
0.631578947368421,0.8778947368421053,50
0.8421052631578947,1.1157894736842104,50
1.0526315789473684,1.3242105263157895,50
1.263157894736842,1.5010526315789474,50
1.4736842105263157,1.677894736842105,50
1.6842105263157894,1.8289473684210524,50
1.894736842105263,1.976315789473684,50
2.1052631578947367,2.113157894736842,50
2.3157894736842106,2.2394736842105263,50
2.526315789473684,2.363157894736842,50
2.7368421052631575,2.468421052631579,50
2.9473684210526314,2.5736842105263156,50
3.1578947368421053,2.663157894736842,50
3.3684210526315788,2.7473684210526312,50
3.578947368421052,2.8236842105263156,50
3.789473684210526,2.886842105263158,50
4.0,2.95,50
0.0,0.0,55
0.21052631578947367,0.2863157894736842,55
0.42105263157894735,0.5521052631578948,55
0.631578947368421,0.7921052631578948,55
0.8421052631578947,1.0047368421052632,55
1.0526315789473684,1.1921052631578946,55
1.263157894736842,1.3605263157894736,55
1.4736842105263157,1.5289473684210526,55
1.6842105263157894,1.6789473684210525,55
1.894736842105263,1.8263157894736841,55
2.1052631578947367,1.9526315789473683,55
2.3157894736842106,2.057894736842105,55
2.526315789473684,2.163157894736842,55
2.7368421052631575,2.2684210526315787,55
2.9473684210526314,2.3736842105263154,55
3.1578947368421053,2.4473684210526314,55
3.3684210526315788,2.5105263157894733,55
3.578947368421052,2.5736842105263156,55
3.789473684210526,2.636842105263158,55
4.0,2.7,55
0.0,0.0,60
0.21052631578947367,0.2526315789473684,60
0.42105263157894735,0.491578947368421,60
0.631578947368421,0.7063157894736841,60
0.8421052631578947,0.8936842105263157,60
1.0526315789473684,1.0578947368421052,60
1.263157894736842,1.2094736842105263,60
1.4736842105263157,1.3610526315789473,60
1.6842105263157894,1.479473684210526,60
1.894736842105263,1.5931578947368419,60
2.1052631578947367,1.6921052631578946,60
2.3157894736842106,1.7763157894736843,60
2.526315789473684,1.8605263157894738,60
2.7368421052631575,1.9447368421052629,60
2.9473684210526314,2.0289473684210524,60
3.1578947368421053,2.0973684210526313,60
3.3684210526315788,2.1605263157894736,60
3.578947368421052,2.223684210526316,60
3.789473684210526,2.286842105263158,60
4.0,2.35,60
