A_beta,Kv_over_fM,sweepLE_deg
0.0,0.0,45
0.21052631578947367,0.5894736842105263,45
0.42105263157894735,1.1105263157894736,45
0.631578947368421,1.5894736842105264,45
0.8421052631578947,2.0157894736842104,45
1.0526315789473684,2.3736842105263154,45
1.263157894736842,2.6684210526315786,45
1.4736842105263157,2.9631578947368418,45
1.6842105263157894,3.1842105263157894,45
1.894736842105263,3.394736842105263,45
2.1052631578947367,3.594736842105263,45
2.3157894736842106,3.78421052631579,45
2.526315789473684,3.968421052631579,45
2.7368421052631575,4.11578947368421,45
2.9473684210526314,4.263157894736842,45
3.1578947368421053,4.394736842105263,45
3.3684210526315788,4.5210526315789465,45
3.578947368421052,4.647368421052631,45
3.789473684210526,4.773684210526316,45
4.0,4.9,45
0.0,0.0,50
0.21052631578947367,0.5052631578947367,50
0.42105263157894735,0.976315789473684,50
0.631578947368421,1.413157894736842,50
0.8421052631578947,1.7973684210526315,50
1.0526315789473684,2.1184210526315788,50
1.263157894736842,2.3921052631578945,50
1.4736842105263157,2.6657894736842107,50
1.6842105263157894,2.8657894736842104,50
1.894736842105263,3.055263157894737,50
2.1052631578947367,3.234210526315789,50
2.3157894736842106,3.4026315789473682,50
2.526315789473684,3.5684210526315785,50
2.7368421052631575,3.71578947368421,50
2.9473684210526314,3.863157894736842,50
3.1578947368421053,3.9789473684210526,50
3.3684210526315788,4.08421052631579,50
3.578947368421052,4.189473684210526,50
3.789473684210526,4.294736842105263,50
4.0,4.4,50
0.0,0.0,55
0.21052631578947367,0.42105263157894735,55
0.42105263157894735,0.8421052631578947,55
0.631578947368421,1.2368421052631577,55
0.8421052631578947,1.5789473684210527,55
1.0526315789473684,1.8631578947368421,55
1.263157894736842,2.1157894736842104,55
1.4736842105263157,2.3684210526315788,55
1.6842105263157894,2.5657894736842106,55
1.894736842105263,2.7552631578947366,55
2.1052631578947367,2.9236842105263157,55
2.3157894736842106,3.0710526315789477,55
2.526315789473684,3.2157894736842105,55
2.7368421052631575,3.3421052631578947,55
2.9473684210526314,3.468421052631579,55
3.1578947368421053,3.5789473684210527,55
3.3684210526315788,3.6842105263157894,55
3.578947368421052,3.789473684210526,55
3.789473684210526,3.894736842105263,55
4.0,4.0,55
0.0,0.0,60
0.21052631578947367,0.35368421052631577,60
0.42105263157894735,0.7142105263157894,60
0.631578947368421,1.0605263157894735,60
0.8421052631578947,1.3605263157894736,60
1.0526315789473684,1.6078947368421053,60
1.263157894736842,1.8394736842105264,60
1.4736842105263157,2.0710526315789473,60
1.6842105263157894,2.2473684210526317,60
1.894736842105263,2.4157894736842103,60
2.1052631578947367,2.563157894736842,60
2.3157894736842106,2.6894736842105265,60
2.526315789473684,2.813157894736842,60
2.7368421052631575,2.9184210526315786,60
2.9473684210526314,3.0236842105263158,60
3.1578947368421053,3.1289473684210525,60
3.3684210526315788,3.234210526315789,60
3.578947368421052,3.339473684210526,60
3.789473684210526,3.4447368421052627,60
4.0,3.55,60
